Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us,textual_features
Capers - Hotel Effotel,"North Indian, Chinese, Continental, Mediterranean, Salad, Mughlai, Desserts, Beverages",4.6,1000.0,5.5,"Hotel Effotel, Vijay Nagar, Indore","Ambiance, Peaceful Ambience, Exquisite Taste","North Indian, Chinese, Continental, Mediterranean, Salad, Mughlai, Desserts, Beverages Ambiance, Peaceful Ambience, Exquisite Taste"
Tandoor Restaurant,"North Indian, Mughlai, Chinese, Kebab, Biryani",4.1,650.0,3.7,"Bhawar Kuan, Indore","Peaceful Ambience, Sophisticated, Comfortable Seating","North Indian, Mughlai, Chinese, Kebab, Biryani Peaceful Ambience, Sophisticated, Comfortable Seating"
Manbhavan - Premium Veg Thali,"North Indian, Gujarati",3.8,250.0,2.1,"Hotel Princes' Palace, South Tukoganj, Indore","Efficient Service, Local Sourcing, Cafe","North Indian, Gujarati Efficient Service, Local Sourcing, Cafe"
CBC Cafe,"Sandwich, Pizza, Pasta, Burger, Fast Food, Street Food, Shake, Beverages",3.2,150.0,3.9,"Bhawar Kuan, Indore","Warm Atmosphere, Cozy Ambiance, Trendy Setting","Sandwich, Pizza, Pasta, Burger, Fast Food, Street Food, Shake, Beverages Warm Atmosphere, Cozy Ambiance, Trendy Setting"
Shosha Cafebar,"North Indian, Mexican, Italian, Chinese, Fast Food, Thai, Desserts, Beverages",3.9,750.0,4.6,"Vijay Nagar, Indore","Breakfast, Vintage Decor, Cafe","North Indian, Mexican, Italian, Chinese, Fast Food, Thai, Desserts, Beverages Breakfast, Vintage Decor, Cafe"
Madhuram Cafe & Restaurant,"Fast Food, Sandwich",3.2,175.0,1.3,"Bombay Bazaar, Indore","Efficient Service, Clean Environment, Young Crowd","Fast Food, Sandwich Efficient Service, Clean Environment, Young Crowd"
Dripco - Speciality Coffee Brewers,"Coffee, Shake, Tea, Beverages",3.9,200.0,4.5,"Vijay Nagar, Indore","Inviting Decor, Hospitable Staff, Customizable Dishes","Coffee, Shake, Tea, Beverages Inviting Decor, Hospitable Staff, Customizable Dishes"
Chick-N-Serve,"Fast Food, Lebanese, Arabian",3.1,200.0,2.8,"56 Dukan, New Palasia, Indore","Ambience, Great Service, Trendy Setting","Fast Food, Lebanese, Arabian Ambience, Great Service, Trendy Setting"
The Arab Nama,"Arabian, Mandi, North Indian, Mughlai",3.9,500.0,4.0,"Old Palasia, Indore","Main Course, Clean Environment, Creative Cuisine","Arabian, Mandi, North Indian, Mughlai Main Course, Clean Environment, Creative Cuisine"
Hotel Surya,"North Indian, Mughlai, Chinese, Continental, Biryani, Sandwich, Desserts, Beverages",4.2,750.0,2.3,"Hotel Surya, South Tukoganj, Indore","Local Sourcing, Brewed Beer, Fresh Ingredients","North Indian, Mughlai, Chinese, Continental, Biryani, Sandwich, Desserts, Beverages Local Sourcing, Brewed Beer, Fresh Ingredients"
Krozzon By Masters Bakery,"Cafe, Coffee, Beverages, Bakery, Fast Food, Pizza, Sandwich, Desserts",3.7,300.0,6.6,"Vijay Nagar, Indore","Trendy Setting, Staff, Good Bartenders","Cafe, Coffee, Beverages, Bakery, Fast Food, Pizza, Sandwich, Desserts Trendy Setting, Staff, Good Bartenders"
The Richie Rich Resto & Cafe,"North Indian, South Indian, Chinese, Pizza, Burger, Fast Food, Desserts, Beverages",3.6,500.0,8.5,"Rajendra Nagar, Indore","Sustainable Practices, Sophisticated, Variety of Beer","North Indian, South Indian, Chinese, Pizza, Burger, Fast Food, Desserts, Beverages Sustainable Practices, Sophisticated, Variety of Beer"
Hat's Off,"North Indian, Mughlai, Kebab, Chinese, Biryani",3.9,600.0,6.0,"Vijay Nagar, Indore","Breakfast, Comfortable Seating, Warm Atmosphere","North Indian, Mughlai, Kebab, Chinese, Biryani Breakfast, Comfortable Seating, Warm Atmosphere"
Food Fantasy,"North Indian, Chinese, Biryani, Sandwich, Burger, Rolls, Fast Food, Beverages",4.2,275.0,4.6,"Vijay Nagar, Indore","Impeccable Presentation, Perfect Place, Comfortable Seating","North Indian, Chinese, Biryani, Sandwich, Burger, Rolls, Fast Food, Beverages Impeccable Presentation, Perfect Place, Comfortable Seating"
Skyline Club & Resorts,"North Indian, Mughlai, Chinese, Continental, Pasta, Kebab, Biryani",3.0,600.0,10.2,"By Pass Road (South), Indore","Customizable Dishes, Diverse Menu, Comfortable Seating","North Indian, Mughlai, Chinese, Continental, Pasta, Kebab, Biryani Customizable Dishes, Diverse Menu, Comfortable Seating"
Tic Tac Toe,"North Indian, Fast Food",4.3,1900.0,5.2,"Vijay Nagar, Indore","Cafe, Friendly Staff, Diverse Menu","North Indian, Fast Food Cafe, Friendly Staff, Diverse Menu"
House Of Pita,"Middle Eastern, Turkish, Fast Food, Pizza, Continental",3.8,150.0,6.7,"By Pass Road (South), Indore","Ambience, Comfortable Seating, Variety of Beer","Middle Eastern, Turkish, Fast Food, Pizza, Continental Ambience, Comfortable Seating, Variety of Beer"
The Homey Rolls,"Rolls, North Indian, Healthy Food, Biryani, Beverages, Finger Food",4.3,225.0,2.8,"New Palasia, Indore","Ambience, Efficient Service, Customizable Dishes","Rolls, North Indian, Healthy Food, Biryani, Beverages, Finger Food Ambience, Efficient Service, Customizable Dishes"
Chemistry The Cafe Lounge,"Cafe, Coffee, Shake, Beverages, Fast Food, Ice Cream, Desserts, Burger",3.5,250.0,5.2,"Vijay Nagar, Indore","Breakfast, Live Sports Screening, Great Service","Cafe, Coffee, Shake, Beverages, Fast Food, Ice Cream, Desserts, Burger Breakfast, Live Sports Screening, Great Service"
Orange Paradise,"North Indian, Fast Food",3.9,150.0,4.5,"Airport Road, Indore","Quantity, Hospitality, Live Sports Screening","North Indian, Fast Food Quantity, Hospitality, Live Sports Screening"
Rajkamal Dal Bafle,North Indian,4.0,100.0,1.8,"Sarwate Bus Stand, Indore","Efficient Service, Main Course, Satisfying Portions","North Indian Efficient Service, Main Course, Satisfying Portions"
Maa Ki Rasoi,"North Indian, South Indian, Chinese, Kebab, Sandwich, Fast Food, Biryani, Beverages",4.0,350.0,5.3,"Sudama Nagar, Indore","Live Sports Screening, Memorable Experience, Good Bartenders","North Indian, South Indian, Chinese, Kebab, Sandwich, Fast Food, Biryani, Beverages Live Sports Screening, Memorable Experience, Good Bartenders"
Alav,"North Indian, Chinese, Kebab, Biryani, Sandwich, Ice Cream, Desserts, Beverages",3.9,350.0,2.9,"New Palasia, Indore","Diverse Menu, Well-priced Options, Delicious Food","North Indian, Chinese, Kebab, Biryani, Sandwich, Ice Cream, Desserts, Beverages Diverse Menu, Well-priced Options, Delicious Food"
Nom! Nom! Chinese,"Chinese, Asian, Thai, Seafood, Beverages, Continental, Fast Food, Desserts",4.3,500.0,5.5,"Vijay Nagar, Indore","Fresh Ingredients, Customizable Dishes, Satisfying Portions","Chinese, Asian, Thai, Seafood, Beverages, Continental, Fast Food, Desserts Fresh Ingredients, Customizable Dishes, Satisfying Portions"
Cafe Igloo,"North Indian, Fast Food",3.9,150.0,4.1,"Old Palasia, Indore","Young Crowd, Creative Cuisine, Breakfast","North Indian, Fast Food Young Crowd, Creative Cuisine, Breakfast"
We Desi,"North Indian, Mughlai, Rolls, Fast Food, Biryani, Chinese, Street Food, Beverages",4.0,275.0,5.5,"Vijay Nagar, Indore","Sustainable Practices, Ambiance, Courteous Staff","North Indian, Mughlai, Rolls, Fast Food, Biryani, Chinese, Street Food, Beverages Sustainable Practices, Ambiance, Courteous Staff"
Mishri Sweets,Mithai,4.2,125.0,5.0,"Vijay Nagar, Indore","Satisfying Portions, Live Sports Screening, Authentic Flavors","Mithai Satisfying Portions, Live Sports Screening, Authentic Flavors"
Rajendra Singh's Retro Kitchen,North Indian,3.9,500.0,7.9,"By Pass Road (North), Indore","Cozy Ambiance, Consistent Quality, Creative Cuisine","North Indian Cozy Ambiance, Consistent Quality, Creative Cuisine"
Oakaz - Cafe and Restaurant,"Sandwich, Burger, Pizza, Fast Food, Chinese, North Indian, Beverages",3.2,600.0,2.8,"South Tukoganj, Indore","Authentic Flavors, Comfortable Seating, Trendy Setting","Sandwich, Burger, Pizza, Fast Food, Chinese, North Indian, Beverages Authentic Flavors, Comfortable Seating, Trendy Setting"
Karnawat Bhojan Prasadi,"North Indian, South Indian, Chinese, Sandwich, Pizza, Fast Food, Shake, Beverages",2.9,150.0,3.3,"Airport Road, Indore","Warm Atmosphere, Great Service, Comfortable Seating","North Indian, South Indian, Chinese, Sandwich, Pizza, Fast Food, Shake, Beverages Warm Atmosphere, Great Service, Comfortable Seating"
Hotel Madni Darbar,"North Indian, Maharashtrian, Mughlai, Chinese",4.0,250.0,1.7,"Sarwate Bus Stand, Indore","Great for Dates, Delicious Food, Impeccable Presentation","North Indian, Maharashtrian, Mughlai, Chinese Great for Dates, Delicious Food, Impeccable Presentation"
Cilantro,"North Indian, Asian",3.1,600.0,7.5,"Vijay Nagar, Indore","Authentic Flavors, Ambiance, Clean Environment","North Indian, Asian Authentic Flavors, Ambiance, Clean Environment"
Effe Cafe,"South Indian, Italian, Pizza, Burger, Bar Food, Coffee, Beverages, Desserts",4.2,500.0,12.2,"Papaya Tree Hotel, Indore","Ambience, Attentive Service, Well-priced Options","South Indian, Italian, Pizza, Burger, Bar Food, Coffee, Beverages, Desserts Ambience, Attentive Service, Well-priced Options"
Good For Gut,"North Indian, Burger, Sandwich, Fast Food",3.9,150.0,4.2,"Old Palasia, Indore","Customizable Dishes, Inviting Decor, Quantity","North Indian, Burger, Sandwich, Fast Food Customizable Dishes, Inviting Decor, Quantity"
Johny Hot Dog,"Fast Food, Hot dogs, Street Food",3.9,75.0,2.8,"56 Dukan, New Palasia, Indore","Variety of Beer, Live Sports Screening, Staff","Fast Food, Hot dogs, Street Food Variety of Beer, Live Sports Screening, Staff"
Hunger World Cafe,"Burger, Sandwich, Pizza, Fast Food, Shake, Beverages, Cafe",3.9,150.0,6.0,"Vijay Nagar, Indore","Variety of Beer, Efficient Service, Hospitable Staff","Burger, Sandwich, Pizza, Fast Food, Shake, Beverages, Cafe Variety of Beer, Efficient Service, Hospitable Staff"
Epicure,"North Indian, Asian, Chinese, Continental, Biryani, Desserts, Bar Food",3.9,1050.0,2.2,"South Tukoganj, Indore","Efficient Service, Attentive Service, Satisfying Portions","North Indian, Asian, Chinese, Continental, Biryani, Desserts, Bar Food Efficient Service, Attentive Service, Satisfying Portions"
Twilight - Hotel WOW CREST IHCL SELEQTIONS,"Bar Food, North Indian, Chinese, Continental, Italian, Pizza, Pasta, Beverages",4.4,1200.0,4.6,"Hotel Wow, Vijay Nagar, Indore","Good Music, Peaceful Ambience, Clean Environment","Bar Food, North Indian, Chinese, Continental, Italian, Pizza, Pasta, Beverages Good Music, Peaceful Ambience, Clean Environment"
Chav - Truly Indian,North Indian,3.9,175.0,4.8,"Khajrana, Indore","Hospitable Staff, Main Course, Ambience","North Indian Hospitable Staff, Main Course, Ambience"
Oye24,"North Indian, Street Food",4.1,250.0,6.6,"By Pass Road (North), Indore","Creative Cuisine, Brewed Beer, Customizable Dishes","North Indian, Street Food Creative Cuisine, Brewed Beer, Customizable Dishes"
Veera Di Hatti,"North Indian, Kebab",4.4,200.0,2.7,"Sapna Sangeeta, Indore","Friendly Staff, Seasonal Menu, Great for Dates","North Indian, Kebab Friendly Staff, Seasonal Menu, Great for Dates"
Domino's Pizza,"Pizza, Italian, Pasta, Fast Food",3.9,200.0,3.8,"Old Palasia, Indore","Good Bartenders, Exquisite Taste, Consistent Quality","Pizza, Italian, Pasta, Fast Food Good Bartenders, Exquisite Taste, Consistent Quality"
Lite Meal Cafe & Restaurant,"North Indian, Sandwich, Pizza, Burger, Fast Food, Chinese, Shake, Beverages",3.4,175.0,3.2,"New Palasia, Indore","Hospitality, Ambiance, Attentive Service","North Indian, Sandwich, Pizza, Burger, Fast Food, Chinese, Shake, Beverages Hospitality, Ambiance, Attentive Service"
Restro Delight,"North Indian, Chinese, Biryani, Rolls",3.9,500.0,5.0,"Vijay Nagar, Indore","Courteous Staff, Customizable Dishes, Flavorful Creations","North Indian, Chinese, Biryani, Rolls Courteous Staff, Customizable Dishes, Flavorful Creations"
Goldy Di Hatti,"North Indian, Mughlai, Biryani, Chinese, Seafood, Street Food",3.9,275.0,6.2,"Vijay Nagar, Indore","Variety of Beer, Memorable Experience, Ambiance","North Indian, Mughlai, Biryani, Chinese, Seafood, Street Food Variety of Beer, Memorable Experience, Ambiance"
City Of Dreams,"Bar Food, North Indian, Biryani, Chinese, Sandwich, Fast Food, Desserts",3.9,500.0,4.3,"Vijay Nagar, Indore","Live Sports Screening, Good Bartenders, Customizable Dishes","Bar Food, North Indian, Biryani, Chinese, Sandwich, Fast Food, Desserts Live Sports Screening, Good Bartenders, Customizable Dishes"
Best Western Plus,"North Indian, Biryani, Fast Food, Chinese, Desserts",4.2,500.0,4.7,"Vijay Nagar, Indore","Memorable Experience, Ambience, Creative Cuisine","North Indian, Biryani, Fast Food, Chinese, Desserts Memorable Experience, Ambience, Creative Cuisine"
T. O'Clock Cafe,"Pizza, Fast Food, Street Food, Shake, Beverages",3.0,150.0,6.2,"Rajendra Nagar, Indore","Peaceful Ambience, Impeccable Presentation, Breakfast","Pizza, Fast Food, Street Food, Shake, Beverages Peaceful Ambience, Impeccable Presentation, Breakfast"
Jamnaram's Pure Veg Multi-Cuisine Fine Dine Restaurant,"North Indian, Chinese, Continental, Italian, Sandwich, Fast Food, Salad, Desserts",3.7,500.0,7.6,"By Pass Road (South), Indore","Hospitality, Diverse Menu, Delicious Food","North Indian, Chinese, Continental, Italian, Sandwich, Fast Food, Salad, Desserts Hospitality, Diverse Menu, Delicious Food"
Cafe Udipi,South Indian,4.5,200.0,3.1,"Old Palasia, Indore","Vintage Decor, Diverse Menu, Perfect Place","South Indian Vintage Decor, Diverse Menu, Perfect Place"
Bakenza,"Sandwich, Burger, Momos, Street Food, Fast Food, Coffee, Shake, Beverages",3.9,150.0,4.5,"Airport Road, Indore","Fresh Ingredients, Warm Atmosphere, Main Course","Sandwich, Burger, Momos, Street Food, Fast Food, Coffee, Shake, Beverages Fresh Ingredients, Warm Atmosphere, Main Course"
Delectable Delights - Sayaji Hotel,"North Indian, Chinese, Beverages",4.7,900.0,4.4,"Sayaji Hotel, Vijay Nagar, Indore","Efficient Service, Weekend Brunch, Courteous Staff","North Indian, Chinese, Beverages Efficient Service, Weekend Brunch, Courteous Staff"
Shree Chotiwala Restaurant,"North Indian, Chinese",3.9,500.0,2.1,"South Tukoganj, Indore","Young Crowd, Diverse Menu, Courteous Staff","North Indian, Chinese Young Crowd, Diverse Menu, Courteous Staff"
Vrindavan Restaurant,"North Indian, Chinese, Biryani, Salad, Desserts, Beverages",3.5,375.0,2.6,"New Palasia, Indore","Great Service, Main Course, Innovative Dishes","North Indian, Chinese, Biryani, Salad, Desserts, Beverages Great Service, Main Course, Innovative Dishes"
Chef Lucky's Paratha On Wheels,"North Indian, Biryani, Beverages",4.3,250.0,4.7,"Vijay Nagar, Indore","Great Service, Peaceful Ambience, Main Course","North Indian, Biryani, Beverages Great Service, Peaceful Ambience, Main Course"
Indiya Oye - Radisson Blue Hotel,"North Indian, Mughlai, Kebab, Desserts",4.0,1750.0,5.4,"Radisson Blu Hotel, Vijay Nagar, Indore","Clean Environment, Breakfast, Hospitality","North Indian, Mughlai, Kebab, Desserts Clean Environment, Breakfast, Hospitality"
Shawarma Grill,"Shawarma, Momos",3.8,175.0,6.6,"By Pass Road (South), Indore","Live Sports Screening, Staff, Warm Atmosphere","Shawarma, Momos Live Sports Screening, Staff, Warm Atmosphere"
Apna Sweets,"Desserts, Ice Cream, Juices, Shake, Beverages",3.7,175.0,4.7,"Vijay Nagar, Indore","Exquisite Taste, Consistent Quality, Hospitality","Desserts, Ice Cream, Juices, Shake, Beverages Exquisite Taste, Consistent Quality, Hospitality"
Bam-Booze Family Restaurant - Golden Treat,"North Indian, Mughlai, Chinese, Seafood, Kebab, Sandwich, Biryani, Beverages",4.1,600.0,3.6,"Bhawar Kuan, Indore","Perfect Place, Hospitality, Memorable Experience","North Indian, Mughlai, Chinese, Seafood, Kebab, Sandwich, Biryani, Beverages Perfect Place, Hospitality, Memorable Experience"
Kesarlal Pure Veg Restaurant,"North Indian, Chinese, Beverages",3.9,250.0,10.2,"By Pass Road (South), Indore","Breakfast, Live Sports Screening, Efficient Service","North Indian, Chinese, Beverages Breakfast, Live Sports Screening, Efficient Service"
Hotel Apna Avenue Foody,"North Indian, South Indian, Chinese, Fast Food, Desserts, Beverages",4.0,500.0,2.5,"New Palasia, Indore","Efficient Service, Inviting Decor, Young Crowd","North Indian, South Indian, Chinese, Fast Food, Desserts, Beverages Efficient Service, Inviting Decor, Young Crowd"
Mama Ji Ka Dhaba,"North Indian, Chinese",3.7,150.0,11.3,"Rau, Indore","Satisfying Portions, Trendy Setting, Efficient Service","North Indian, Chinese Satisfying Portions, Trendy Setting, Efficient Service"
Sigdi - Sizzler & South Indian,"South Indian, Momos",3.9,400.0,7.6,"By Pass Road (North), Indore","Consistent Quality, Hospitality, Authentic Flavors","South Indian, Momos Consistent Quality, Hospitality, Authentic Flavors"
Tea & Shakes,"Chinese, Pizza, Sandwich, Pasta, Salad, North Indian, Beverages",3.8,250.0,5.2,"Vijay Nagar, Indore","Diverse Menu, Fresh Ingredients, Memorable Experience","Chinese, Pizza, Sandwich, Pasta, Salad, North Indian, Beverages Diverse Menu, Fresh Ingredients, Memorable Experience"
The Frontier Pavilion,"North Indian, Continental, Bar Food, Chinese, Salad, Oriental, Desserts",3.9,750.0,4.9,"Bhawar Kuan, Indore","Good Bartenders, Great Service, Innovative Dishes","North Indian, Continental, Bar Food, Chinese, Salad, Oriental, Desserts Good Bartenders, Great Service, Innovative Dishes"
Kebabilal's,"North Indian, Chinese, Mughlai, Kebab, Biryani, Desserts, Beverages",3.7,400.0,4.3,"Bhawar Kuan, Indore","Courteous Staff, Variety of Beer, Vintage Decor","North Indian, Chinese, Mughlai, Kebab, Biryani, Desserts, Beverages Courteous Staff, Variety of Beer, Vintage Decor"
Saffron,"North Indian, Chinese, South Indian, Pizza, Sandwich, Fast Food, Ice Cream, Beverages",3.1,200.0,3.0,"Ranjeet Hanuman, Indore","Hospitality, Perfect Place, Comfortable Seating","North Indian, Chinese, South Indian, Pizza, Sandwich, Fast Food, Ice Cream, Beverages Hospitality, Perfect Place, Comfortable Seating"
Carobar  Indore,"North Indian, Mughlai, Chinese, Biryani",3.9,700.0,8.6,"By Pass Road (North), Indore","Flavorful Creations, Cafe, Great Service","North Indian, Mughlai, Chinese, Biryani Flavorful Creations, Cafe, Great Service"
Real Paprika Pizzeria,"Pizza, Fast Food, Shake, Beverages",3.3,200.0,4.9,"Sudama Nagar, Indore","Breakfast, Main Course, Vintage Decor","Pizza, Fast Food, Shake, Beverages Breakfast, Main Course, Vintage Decor"
Wah Wah Chaap,"North Indian, Chinese, Rolls, Biryani, Desserts, Shake, Beverages",4.1,200.0,5.5,"Vijay Nagar, Indore","Innovative Dishes, Quantity, Staff","North Indian, Chinese, Rolls, Biryani, Desserts, Shake, Beverages Innovative Dishes, Quantity, Staff"
Yes Boss - The Food Court,"North Indian, Continental, Chinese, Fast Food, Shake, Beverages",2.9,225.0,7.5,"Vijay Nagar, Indore","Local Sourcing, Inviting Decor, Courteous Staff","North Indian, Continental, Chinese, Fast Food, Shake, Beverages Local Sourcing, Inviting Decor, Courteous Staff"
Prithvilok Restaurant,North Indian,4.2,250.0,1.0,"Rajwada, Indore","Fresh Ingredients, Good Bartenders, Satisfying Portions","North Indian Fresh Ingredients, Good Bartenders, Satisfying Portions"
Shree Hari Om Dhaba,North Indian,4.1,75.0,7.7,"Rajendra Nagar, Indore","Memorable Experience, Cozy Ambiance, Perfect Place","North Indian Memorable Experience, Cozy Ambiance, Perfect Place"
Buddy's,"Cafe, North Indian, Chinese, Mexican, Pasta, Fast Food, Desserts, Beverages",3.2,350.0,2.4,"South Tukoganj, Indore","Good Music, Consistent Quality, Flavorful Creations","Cafe, North Indian, Chinese, Mexican, Pasta, Fast Food, Desserts, Beverages Good Music, Consistent Quality, Flavorful Creations"
Hotel Kalinga,"North Indian, Chinese, Continental, Biryani, Kebab, Mughlai, Seafood, Fast Food",4.0,500.0,2.1,"South Tukoganj, Indore","Efficient Service, Fresh Ingredients, Trendy Setting","North Indian, Chinese, Continental, Biryani, Kebab, Mughlai, Seafood, Fast Food Efficient Service, Fresh Ingredients, Trendy Setting"
Indore Accent - By AFC,"North Indian, Continental",4.0,500.0,7.7,"MR 10 Road, Indore","Sustainable Practices, Good Bartenders, Quantity","North Indian, Continental Sustainable Practices, Good Bartenders, Quantity"
Opium Bar By The Roof,"Bar Food, North Indian, Mughlai, Chinese, Seafood, Biryani, Desserts, Beverages",4.3,1000.0,5.8,"Infiniti Hotel, Vijay Nagar, Indore","Quantity, Good Bartenders, Cafe","Bar Food, North Indian, Mughlai, Chinese, Seafood, Biryani, Desserts, Beverages Quantity, Good Bartenders, Cafe"
Poonam's Patisserie,"Bakery, Desserts",3.8,175.0,3.0,"Sapna Sangeeta, Indore","Well-priced Options, Diverse Menu, Friendly Staff","Bakery, Desserts Well-priced Options, Diverse Menu, Friendly Staff"
Hotel 5 Senses,"North Indian, Chinese, Salad, Pizza, Fast Food, Beverages",3.9,200.0,25.8,"Mhow, Indore","Cafe, Flavorful Creations, Good Music","North Indian, Chinese, Salad, Pizza, Fast Food, Beverages Cafe, Flavorful Creations, Good Music"
Pizzaporium,"Pizza, Chinese, Fast Food, Beverages",2.9,175.0,4.3,"Vijay Nagar, Indore","Ambience, Perfect Place, Great Service","Pizza, Chinese, Fast Food, Beverages Ambience, Perfect Place, Great Service"
Rolls Mania,"Rolls, Fast Food, Beverages",3.6,150.0,5.5,"Vijay Nagar, Indore","Trendy Setting, Great for Dates, Young Crowd","Rolls, Fast Food, Beverages Trendy Setting, Great for Dates, Young Crowd"
Sassy House - All Day Cafe,"Cafe, Fast Food, North Indian, Beverages, Desserts, Pizza, Pasta",3.6,325.0,5.1,"Vijay Nagar, Indore","Inviting Decor, Quantity, Variety of Beer","Cafe, Fast Food, North Indian, Beverages, Desserts, Pizza, Pasta Inviting Decor, Quantity, Variety of Beer"
F For Fries,"Fast Food, Beverages",3.9,150.0,3.9,"Old Palasia, Indore","Trendy Setting, Live Sports Screening, Cozy Ambiance","Fast Food, Beverages Trendy Setting, Live Sports Screening, Cozy Ambiance"
The Belgian Street,"Continental, Italian, Fast Food, Street Food, Ice Cream, Desserts, Coffee, Beverages",3.9,300.0,5.2,"Vijay Nagar, Indore","Hospitable Staff, Warm Atmosphere, Efficient Service","Continental, Italian, Fast Food, Street Food, Ice Cream, Desserts, Coffee, Beverages Hospitable Staff, Warm Atmosphere, Efficient Service"
King Of Cakes,"Bakery, Desserts, Street Food",3.8,225.0,6.7,"Vijay Nagar, Indore","Memorable Experience, Great for Dates, Comfortable Seating","Bakery, Desserts, Street Food Memorable Experience, Great for Dates, Comfortable Seating"
Charpai - The Dhaba,"North Indian, Biryani, Chinese, Desserts, Beverages",3.5,500.0,10.5,"MR 10 Road, Indore","Young Crowd, Attentive Service, Comfortable Seating","North Indian, Biryani, Chinese, Desserts, Beverages Young Crowd, Attentive Service, Comfortable Seating"
Pitchers Cafebar,"North Indian, Pizza, Chinese, Bar Food, Beverages",4.8,500.0,4.2,"Vijay Nagar, Indore","Delicious Food, Hospitable Staff, Sustainable Practices","North Indian, Pizza, Chinese, Bar Food, Beverages Delicious Food, Hospitable Staff, Sustainable Practices"
Mr. Bistro,"Sandwich, Wraps, Fast Food, Coffee, Beverages",3.9,200.0,3.9,"Khajrana, Indore","Weekend Brunch, Local Sourcing, Perfect Place","Sandwich, Wraps, Fast Food, Coffee, Beverages Weekend Brunch, Local Sourcing, Perfect Place"
Heritage By Shikarwadi,"Chinese, North Indian, Mughlai",3.9,225.0,7.4,"By Pass Road (North), Indore","Diverse Menu, Great Service, Main Course","Chinese, North Indian, Mughlai Diverse Menu, Great Service, Main Course"
Orion Cafe Restro,"Chinese, North Indian, Sandwich, Pizza, Fast Food, Desserts, Beverages",4.2,400.0,8.0,"By Pass Road (North), Indore","Friendly Staff, Ambiance, Inviting Decor","Chinese, North Indian, Sandwich, Pizza, Fast Food, Desserts, Beverages Friendly Staff, Ambiance, Inviting Decor"
Municipal Cafe Bar,"North Indian, Italian, Desserts",3.9,725.0,5.2,"Vijay Nagar, Indore","Young Crowd, Weekend Brunch, Hospitality","North Indian, Italian, Desserts Young Crowd, Weekend Brunch, Hospitality"
Maa Ki Rasoi,"North Indian, Chinese, Mughlai",3.1,350.0,5.1,"Mangal City Mall, Vijay Nagar, Indore","Weekend Brunch, Young Crowd, Well-priced Options","North Indian, Chinese, Mughlai Weekend Brunch, Young Crowd, Well-priced Options"
Zakir Family Restaurant,"North Indian, Mughlai, Kebab, Lebanese, Chinese, Seafood, Biryani",4.2,500.0,4.6,"Khajrana, Indore","Staff, Main Course, Cozy Ambiance","North Indian, Mughlai, Kebab, Lebanese, Chinese, Seafood, Biryani Staff, Main Course, Cozy Ambiance"
Chai Sutta Bar,"Tea, Coffee, Shake, Sandwich, Pizza, Burger, Fast Food, Street Food",3.9,100.0,6.6,"Bhawar Kuan, Indore","Authentic Flavors, Creative Cuisine, Exquisite Taste","Tea, Coffee, Shake, Sandwich, Pizza, Burger, Fast Food, Street Food Authentic Flavors, Creative Cuisine, Exquisite Taste"
Guru Kripa,"North Indian, Fast Food, Chinese",4.0,225.0,13.0,"Rau, Indore","Ambiance, Delicious Food, Live Sports Screening","North Indian, Fast Food, Chinese Ambiance, Delicious Food, Live Sports Screening"
BTS FOOD WORLD,"Chinese, Pizza, Sandwich, Tea, Shake, Beverages",3.9,150.0,3.7,"Bhawar Kuan, Indore","Local Sourcing, Inviting Decor, Ambiance","Chinese, Pizza, Sandwich, Tea, Shake, Beverages Local Sourcing, Inviting Decor, Ambiance"
Kapoors Restaurant,North Indian,3.8,200.0,3.2,"Sapna Sangeeta, Indore","Satisfying Portions, Impeccable Presentation, Brewed Beer","North Indian Satisfying Portions, Impeccable Presentation, Brewed Beer"
Ice Cream Factory And Shahi Durbar,"Ice Cream, Desserts",3.9,100.0,2.8,"South Tukoganj, Indore","Hospitable Staff, Perfect Place, Hospitality","Ice Cream, Desserts Hospitable Staff, Perfect Place, Hospitality"
Hotel Nizam,"North Indian, Mughlai",3.8,175.0,5.9,"Khajrana, Indore","Good Bartenders, Sophisticated, Courteous Staff","North Indian, Mughlai Good Bartenders, Sophisticated, Courteous Staff"
La Milano Pizzeria,"Pizza, Pasta, Italian, American, Mexican, Desserts, Beverages, Fast Food",3.4,225.0,2.9,"Geeta Bhavan, Indore","Courteous Staff, Exquisite Taste, Creative Cuisine","Pizza, Pasta, Italian, American, Mexican, Desserts, Beverages, Fast Food Courteous Staff, Exquisite Taste, Creative Cuisine"
Chaapsticks,"North Indian, Rolls, Momos, Beverages",3.8,150.0,2.4,"Manik Bagh Road, Indore","Innovative Dishes, Young Crowd, Peaceful Ambience","North Indian, Rolls, Momos, Beverages Innovative Dishes, Young Crowd, Peaceful Ambience"
Euphoria Cafe,"Coffee, Sandwich, Pizza, Fast Food, Momos, Beverages",3.9,150.0,6.2,"Rajendra Nagar, Indore","Satisfying Portions, Seasonal Menu, Consistent Quality","Coffee, Sandwich, Pizza, Fast Food, Momos, Beverages Satisfying Portions, Seasonal Menu, Consistent Quality"
Fiza Restaurant,"North Indian, Maharashtrian",3.8,175.0,1.2,"Bombay Bazaar, Indore","Young Crowd, Brewed Beer, Weekend Brunch","North Indian, Maharashtrian Young Crowd, Brewed Beer, Weekend Brunch"
